protocol,config,seed,split,domain,n,threshold,auc,acc,bal_acc,f1_macro,specificity_recall0,sensitivity_recall1,ppv,npv,tn,fp,fn,tp
lodo_aul,effformer_l1,17,val,busi,104,0.73,0.7862838915470495,0.7980769230769231,0.7627591706539074,0.772286518611198,0.8939393939393939,0.631578947368421,0.7741935483870968,0.8082191780821918,59,7,14,24
lodo_aul,effformer_l1,17,test,aul,127,0.73,0.5700985761226725,0.3464566929133858,0.473302300109529,0.29599946570493557,0.8863636363636364,0.060240963855421686,0.5,0.3333333333333333,39,5,78,5
lodo_aul,effformer_l1,27,val,combined,604,0.53,0.9371547667757774,0.902317880794702,0.8809840425531915,0.8848932947017194,0.824468085106383,0.9375,0.9219858156028369,0.856353591160221,155,33,26,390
lodo_aul,effformer_l1,27,val,tn5000,500,0.53,0.952034001214329,0.922,0.8762468557550525,0.8902268083022309,0.7868852459016393,0.9656084656084656,0.9335038363171355,0.8807339449541285,96,26,13,365
lodo_aul,effformer_l1,27,val,busi,104,0.53,0.8600478468899522,0.8076923076923077,0.7759170653907497,0.7846790890269151,0.8939393939393939,0.6578947368421053,0.78125,0.8194444444444444,59,7,13,25
lodo_aul,effformer_l1,27,test,aul,127,0.53,0.6330777656078861,0.5354330708661418,0.5858433734939759,0.5353178294573644,0.75,0.42168674698795183,0.7608695652173914,0.4074074074074074,33,11,48,35
lodo_aul,effformer_l1,37,val,combined,604,0.58,0.9388681464811783,0.8874172185430463,0.8759973404255319,0.8705545680319706,0.8457446808510638,0.90625,0.9285714285714286,0.803030303030303,159,29,39,377
lodo_aul,effformer_l1,37,val,tn5000,500,0.58,0.9422543152051349,0.904,0.8782201405152226,0.8720000000000001,0.8278688524590164,0.9285714285714286,0.9435483870967742,0.7890625,101,21,27,351
lodo_aul,effformer_l1,37,val,busi,104,0.58,0.8771929824561404,0.8076923076923077,0.7814992025518341,0.7875816993464052,0.8787878787878788,0.6842105263157895,0.7647058823529411,0.8285714285714286,58,8,12,26
lodo_aul,effformer_l1,37,test,aul,127,0.58,0.5777656078860899,0.4645669291338583,0.547645125958379,0.45889724310776936,0.8181818181818182,0.27710843373493976,0.7419354838709677,0.375,36,8,60,23
lodo_aul,effformer_l1_eca,17,val,combined,604,0.58,0.9309405687397709,0.8625827814569537,0.87546031096563,0.8493516640372625,0.9095744680851063,0.8413461538461539,0.9536784741144414,0.7215189873417721,171,17,66,350
lodo_aul,effformer_l1_eca,17,val,tn5000,500,0.58,0.9479573250065054,0.88,0.887327608639084,0.8511904761904762,0.9016393442622951,0.873015873015873,0.9649122807017544,0.6962025316455697,110,12,48,330
lodo_aul,effformer_l1_eca,17,val,busi,104,0.58,0.8133971291866029,0.7788461538461539,0.7252791068580542,0.7381499726327312,0.9242424242424242,0.5263157894736842,0.8,0.7721518987341772,61,5,18,20
lodo_aul,effformer_l1_eca,17,test,aul,127,0.58,0.5273822562979189,0.4566929133858268,0.5576396495071194,0.4428762159069235,0.8863636363636364,0.2289156626506024,0.7916666666666666,0.3786407766990291,39,5,64,19
lodo_aul,effformer_l1_eca,27,val,combined,604,0.7,0.9193049304418984,0.8758278145695364,0.8734144844517184,0.8600153890367019,0.8670212765957447,0.8798076923076923,0.9360613810741688,0.7652582159624414,163,25,50,366
lodo_aul,effformer_l1_eca,27,val,tn5000,500,0.7,0.9324529447480268,0.888,0.8731893485991846,0.8551893915885724,0.8442622950819673,0.9021164021164021,0.9472222222222222,0.7357142857142858,103,19,37,341
lodo_aul,effformer_l1_eca,27,val,busi,104,0.7,0.8580542264752791,0.8173076923076923,0.7834928229665072,0.793973516838703,0.9090909090909091,0.6578947368421053,0.8064516129032258,0.821917808219178,60,6,13,25
lodo_aul,effformer_l1_eca,27,test,aul,127,0.7,0.696604600219058,0.47244094488188976,0.5857064622124863,0.4529029769176365,0.9545454545454546,0.21686746987951808,0.9,0.3925233644859813,42,2,65,18
lodo_aul,effformer_l1_eca,37,val,combined,604,0.46,0.9295468494271685,0.8857615894039735,0.8616765548281506,0.8653836836342141,0.7978723404255319,0.9254807692307693,0.9101654846335697,0.8287292817679558,150,38,31,385
lodo_aul,effformer_l1_eca,37,val,tn5000,500,0.46,0.9412351461531789,0.904,0.8560152658513314,0.8661043047466024,0.7622950819672131,0.9497354497354498,0.9252577319587629,0.8303571428571429,93,29,19,359
